,LAT,LON,CALLE,BRAND
0,37.3978439,-5.9984791,039 Plaza San Antonio de Padua,Sevici
1,37.3975405,-5.9966186,050 Calle de Hernán Cortés,Sevici
2,37.3968977,-5.993847,049 Alameda de Hercúles,Sevici
3,37.40079,-5.9938002,035 Alameda de Hercúles,Sevici
4,37.3994884,-5.9909861,041 Plaza Calderón de la Barca,Sevici
5,37.4031482,-5.9918576,013 Calle Feria,Sevici
6,37.4033474,-5.9890824,019 Parlamento,Sevici
7,37.4033446,-5.9880344,023 Parlamento,Sevici
8,37.3952732,-6.0101435,052 Calle del Inca Garcilaso,Sevici
9,37.3921055,-6.0110319,038 Calle de Inca Garcilaso,Sevici
10,37.4025275,-5.977637,026 Avenida de Miraflores,Sevici
11,37.4008296,-5.9752218,147 Carretera de Carmona,Sevici
12,37.4008477,-5.9794025,031 Avenida de Miraflores,Sevici
13,37.3983746,-5.981755,044 Ronda Capuchinos,Sevici
14,37.3976114,-5.9839284,046 Plaza del Pelícano,Sevici
15,37.3913345,-5.9761846,070 Estación Renfe Santa Justa,Sevici
16,37.4038881,-5.9949143,012 Plaza Duquesa de Alba,Sevici
17,37.4020564,-5.986329,032 Calle Muñoz León,Sevici
18,37.3996998,-5.9839458,043 Ronda Capuchinos,Sevici
19,37.389754,-5.9870267,074 Plaza Pilatos,Sevici
20,37.3895946,-5.9845523,073 Plaza San Agustín,Sevici
21,37.3853038,-5.986738,085 Paseo Catalina Ribera,Sevici
22,37.3815369,-5.9892332,100 Paseo Catalina Ribera,Sevici
23,37.3883808,-5.9869733,079 Plaza de las Mercedarias,Sevici
24,37.3837304,-6.0000313,096 Calle Betis,Sevici
25,37.3757089,-6.0056255,130 Glorieta República Dominicana,Sevici
26,37.3747244,-6.0023834,129 Calle Virgen de Luján,Sevici
27,37.3812765,-6.0010318,111 Plaza Farmacéutico Murillo Herrera,Sevici
28,37.3776619,-6.0025472,117 Avenida Esperanza de Triana,Sevici
29,37.3865102,-5.9977998,089 Calle Adriano,Sevici
30,37.3911108,-6.0031603,062 Plaza de Armas,Sevici
31,37.3929261,-5.9993175,061 Plaza del Museo,Sevici
32,37.3889438,-5.9952601,087 Plaza Nueva,Sevici
33,37.3889073,-5.9955824,076 Plaza Nueva,Sevici
34,37.4051157,-5.9747843,022 Avenida de Llanes,Sevici
35,37.4039091,-5.972179,027 Avenida de Llanes,Sevici
36,37.4071954,-5.9789081,017 Calle de Madreselva,Sevici
37,37.4085658,-5.970531,184 Alcalde Manuel del Valle,Sevici
38,37.3898408,-5.9911886,064 Calle Cuesta de Rosario,Sevici
39,37.4096545,-5.9842555,180 Calle Doctor Jaime Marcos,Sevici
40,37.4129322,-5.9848934,179 Ronda Urbana Norte,Sevici
41,37.3886194,-6.010298,078 Calle Alfarería,Sevici
42,37.3895726,-6.0076755,077 Plaza Chapina,Sevici
43,37.3951765,-5.9908929,054 Plaza San Juan de la Palma,Sevici
44,37.3942887,-5.9917052,058 Calle Regina,Sevici
45,37.3920955,-5.9785982,069 Calle Jose Laguillo,Sevici
46,37.3988222,-5.9936337,037 Alameda de Hércules,Sevici
47,37.3898804,-5.9744805,071 Avenida Kansas City,Sevici
48,37.3966427,-5.9898701,048 Calle Churruca,Sevici
49,37.4230116,-5.9665727,197 Calle Agricultores,Sevici
50,37.4204849,-5.9678863,198 Calle Mar de Alborán,Sevici
51,37.4178443,-5.9692737,199 Mar de Alborán,Sevici
52,37.4034791,-5.9812041,025 Avenida de la Cruz Roja,Sevici
53,37.4162681,-5.9673386,201 Calle Pino Montano,Sevici
54,37.3955925,-6.0024431,051 Avenida Torneo,Sevici
55,37.393964,-5.9968487,060 Plaza de la Concordia,Sevici
